DAY,DATE,HOLIDAY
Tuesday,26-Jan-16,Republic Day
Monday,07-Mar-16,Mahashivratri
Thursday,24-Mar-16,Holi
Friday,25-Mar-16,Good Friday
Thursday,14-Apr-16,Dr.Baba Saheb Ambedkar Jayanti
Friday,15-Apr-16,Ram Navami
Tuesday,19-Apr-16,Mahavir Jayanti
Sunday,01-May-16,Maharashtra Day
Wednesday,06-Jul-16,Id-Ul-Fitr (Ramzan Id)
Monday,15-Aug-16,Independence Day
Monday,05-Sep-16,Ganesh Chaturthi
Tuesday,13-Sep-16,Bakri Id
Sunday,02-Oct-16,Mahatma Gandhi Jayanti
Tuesday,11-Oct-16,Dussehra
Wednesday,12-Oct-16,Muharram
Sunday,30-Oct-16,Diwali-Laxmi Pujan**
Monday,31-Oct-16,Diwali
Monday,14-Nov-16,Gurunanak Jayanti
Sunday,25-Dec-16,Christmas
Thursday,26-Jan-17,Republic Day
Friday,24-Feb-17,Mahashivratri
Monday,13-Mar-17,Holi
Tuesday,04-Apr-17,Ram Navami
Sunday,09-Apr-17,Mahavir Jayanti
Friday,14-Apr-17,Good Friday
Friday,14-Apr-17,Dr.Baba Saheb Ambedkar Jayanti
Monday,01-May-17,Maharashtra Day
Monday,26-Jun-17,Id-Ul-Fitr (Ramzan Id)
Tuesday,15-Aug-17,Independence Day
Friday,25-Aug-17,Ganesh Chaturthi
Saturday,02-Sep-17,Bakri ID
Saturday,30-Sep-17,Dassera
Sunday,01-Oct-17,Moharram
Monday,02-Oct-17,Mahatama Gandhi Jayanti
Thursday,19-Oct-17,Diwali-Laxmi Pujan**
Friday,20-Oct-17,Diwali-Balipratipada
Saturday,04-Nov-17,Gurunanak Jayanti
Monday,25-Dec-17,Christmas
Friday,26-Jan-18,Republic Day
Tuesday,13-Feb-18,Maha Shivaratri
Friday,02-Mar-18,Holi
Sunday,25-Mar-18,Ram Navami
Thursday,29-Mar-18,Mahavir Jayanti
Friday,30-Mar-18,Good Friday
Saturday,14-Apr-18,Dr.Baba Saheb Ambedkar Jayanti
Tuesday,01-May-18,Maharashtra Day
Saturday,16-Jun-18,Id-ul-Fitr (Ramzan ID)
Wednesday,15-Aug-18,Independence Day
Wednesday,22-Aug-18,Bakri Id / Eid ul-Adha
Thursday,13-Sep-18,Ganesh Chaturthi
Thursday,20-Sep-18,Moharum
Tuesday,02-Oct-18,Mathatma Gandhi Jayanti
Thursday,18-Oct-18,Dasara
Wednesday,07-Nov-18,Diwali-Laxmi Pujan**
Thursday,08-Nov-18,Diwali-Balipratipada
Friday,23-Nov-18,Guru Nanak Jayanti
Tuesday,25-Dec-18,Christmas
Saturday,26-Jan-19,Republic Day
Monday,04-Mar-19,Maha Shivaratri
Thursday,21-Mar-19,Holi
Saturday,13-Apr-19,Ram Navami
Sunday,14-Apr-19,Dr.Baba Saheb Ambedkar Jayanti
Wednesday,17-Apr-19,Mahavir Jayanti
Friday,19-Apr-19,Good Friday
Wednesday,01-May-19,Maharashtra Day
Wednesday,05-Jun-19,Id-ul-Fitr (Ramzan ID)
Monday,12-Aug-19,Bakri Id / Eid ul-Adha
Thursday,15-Aug-19,Independence Day
Monday,02-Sep-19,Ganesh Chaturthi
Tuesday,10-Sep-19,Moharum
Wednesday,02-Oct-19,Mathatma Gandhi Jayanti
Tuesday,08-Oct-19,Dasara
Sunday,27-Oct-19,Diwali-Laxmi Pujan**
Monday,28-Oct-19,Diwali-Balipratipada
Tuesday,12-Nov-19,Guru Nanak Jayanti
Wednesday,25-Dec-19,Christmas
Sunday,26-Jan-20,Republic Day
Friday,21-Feb-20,Maha Shivaratri
Friday,06-Mar-20,Holi
Thursday,02-Apr-20,Ram Navami
Thursday,02-Apr-20,Mahavir Jayanti
Friday,10-Apr-20,Good Friday
Tuesday,14-Apr-20,Dr.Baba Saheb Ambedkar Jayanti
Friday,01-May-20,Maharashtra Day
Monday,25-May-20,Id-ul-Fitr (Ramzan ID)
Thursday,17-Sep-20,Ganesh Chaturthi
Friday,25-Sep-20,Bakri Id / Eid ul-Adha
Friday,02-Oct-20,Mathatma Gandhi Jayanti
Thursday,22-Oct-20,Dasara
Wednesday,11-Nov-20,Diwali-Laxmi Pujan**
Thursday,12-Nov-20,Diwali-Balipratipada
Wednesday,25-Nov-20,Guru Nanak Jayanti
Friday,25-Dec-20,Christmas
Tuesday,26-Jan-21,Republic Day
Thursday,11-Mar-21,Maha Shivaratri
Friday,02-Apr-21,Good Friday
Wednesday,14-Apr-21,Dr.Baba Saheb Ambedkar Jayanti
Wednesday,21-Apr-21,Ram Navami
Thursday,13-May-21,Id-ul-Fitr (Ramzan ID)
Tuesday,20-Jul-21,Bakri Id / Eid ul-Adha
Thursday,19-Aug-21,Muharram
Friday,10-Sep-21,Ganesh Chaturthi
Saturday,02-Oct-21,Mathatma Gandhi Jayanti
Friday,15-Oct-21,Dasara
Wednesday,20-Oct-21,Diwali-Laxmi Pujan**
Thursday,04-Nov-21,Diwali-Balipratipada
Thursday,18-Nov-21,Guru Nanak Jayanti
Saturday,25-Dec-21,Christmas
Wednesday,26-Jan-22,Republic Day
Tuesday,01-Mar-22,Maha Shivaratri
Sunday,10-Apr-22,Ram Navami
Thursday,14-Apr-22,Dr.Baba Saheb Ambedkar Jayanti
Friday,15-Apr-22,Good Friday
Tuesday,03-May-22,Id-ul-Fitr (Ramzan ID)
Sunday,10-Jul-22,Bakri Id / Eid ul-Adha
Tuesday,09-Aug-22,Muharram
Wednesday,31-Aug-22,Ganesh Chaturthi
Sunday,02-Oct-22,Mathatma Gandhi Jayanti
Wednesday,05-Oct-22,Dasara
Monday,24-Oct-22,Diwali-Laxmi Pujan**
Monday,24-Oct-22,Diwali-Balipratipada
Tuesday,08-Nov-22,Guru Nanak Jayanti
Sunday,25-Dec-22,Christmas
Thursday,26-Jan-23,Republic Day
Tuesday,07-Mar-23,Holi
Thursday,30-Mar-23,Ram Navami
Tuesday,04-Apr-23,Mahavir Jayanti
Friday,07-Apr-23,Good Friday
Friday,14-Apr-23,Dr.Baba Saheb Ambedkar Jayanti
Friday,21-Apr-23,Id-ul-Fitr (Ramzan ID)
Monday,01-May-23,Maharashtra Day
Wednesday,28-Jun-23,Bakri Id / Eid ul-Adha
Tuesday,15-Aug-23,Independence Day
Tuesday,19-Sep-23,Ganesh Chaturthi
Monday,02-Oct-23,Mathatma Gandhi Jayanti
Tuesday,24-Oct-23,Dasara
Sunday,12-Nov-23,Diwali-Laxmi Pujan**
Tuesday,14-Nov-23,Diwali-Balipratipada
Monday,27-Nov-23,Guru Nanak Jayanti
Monday,25-Dec-23,Christmas
Friday,26-Jan-24,Republic Day
Friday,08-Mar-24,Maha Shivaratri
Monday,25-Mar-24,Holi
Friday,29-Mar-24,Good Friday
Wednesday,11-Apr-24,Id-ul-Fitr (Ramzan ID)
Sunday,14-Apr-24,Dr.Baba Saheb Ambedkar Jayanti
Wednesday,17-Apr-24,Ram Navami
Sunday,21-Apr-24,Mahavir Jayanti
Wednesday,01-May-24,Maharashtra Day
Monday,17-Jun-24,Bakri Id / Eid ul-Adha
Wednesday,17-Jul-24,Muharram
Thursday,15-Aug-24,Independence Day
Saturday,07-Sep-24,Ganesh Chaturthi
Wednesday,02-Oct-24,Mathatma Gandhi Jayanti
Sunday,13-Oct-24,Dasara
Friday,01-Nov-24,Diwali-Laxmi Pujan**
Saturday,02-Nov-24,Diwali-Balipratipada
Friday,15-Nov-24,Guru Nanak Jayanti
Wednesday,25-Dec-24,Christmas
Wednesday,26-Feb-25,Maha Shivaratri
Friday,14-Mar-25,Holi
Monday,31-Mar-25,Id-Ul-Fitr (Ramadan Eid)
Sunday,06-Apr-25,Shri Ram Navami
Thursday,10-Apr-25,Shri Mahavir Jayanti
Monday,14-Apr-25,Dr. Baba Saheb Ambedkar Jayanti
Friday,18-Apr-25,Good Friday
Thursday,01-May-25,Maharashtra Day
Saturday,07-Jun-25,Bakri Id
Sunday,06-Jul-25,Muharram
Friday,15-Aug-25,Independence Day / Parsi New Year
Wednesday,27-Aug-25,Shri Ganesh Chaturthi
